39.02058333,-77.01343833,MCP12350018,180009614,Montgomery County Police,Injury Crash,2/24/18 15:26,Maryland (State),UNIVERSITY BLVD W,County,SUTHERLAND RD,,N/A,,SAME DIR REND LEFT TURN,CLOUDY,WET,DAYLIGHT,NO CONTROLS,NONE DETECTED,,7D556F83-69FA-48F3-A48B-DF5022B10D13,No,NO APPARENT INJURY,"N/A, WET",NOT DISTRACTED,VA,9DD8AB7A-A7AC-4E32-9537-C13E53BF9673,SUPERFICIAL,PASSENGER CAR,MAKING LEFT TURN,39.02058333,-77.01343833,"(39.02058333, -77.01343833)"
39.138495,-77.15333167,MCP2556001N,180008379,Montgomery County Police,Property Damage Crash,2/17/18 14:20,County,SHADY GROVE RD,County,TUPELO DR,,N/A,,STRAIGHT MOVEMENT ANGLE,SNOW,WET,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,CA01788A-A99C-4728-864B-BA7C9C4DEA4F,Yes,NO APPARENT INJURY,"RAIN, SNOW, WET",NOT DISTRACTED,MD,A8169D6F-2E84-4945-AAAE-AFFF5E5AF9F3,SUPERFICIAL,PASSENGER CAR,ACCELERATING,39.138495,-77.15333167,"(39.138495, -77.15333167)"
39.11112833,-77.23934333,MCP06850040,180010071,Montgomery County Police,Property Damage Crash,2/27/18 8:53,Maryland (State),DARNESTOWN RD,Municipality,EDISON PARK DR,,GAITHERSBURG,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,E331CAFE-3352-4473-979A-4352BD6E2EF9,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,6E020928-4D86-42CD-9CF0-5D1E471D6A76,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.11112833,-77.23934333,"(39.11112833, -77.23934333)"
39.03021167,-77.07143,MCP30390022,180009754,Montgomery County Police,Property Damage Crash,2/25/18 13:30,,,,,PARKING LOT OF THE HARRIS TEETER LOCATED AT 11845 OLD GEORGETOWN ROAD.,,,UNKNOWN,CLEAR,,DAYLIGHT,NO CONTROLS,UNKNOWN,,3B839606-E48B-441D-851E-297349871679,Yes,NO APPARENT INJURY,N/A,UNKNOWN,,8A969254-C968-4E95-9CD1-7E56EF1358BE,UNKNOWN,PASSENGER CAR,UNKNOWN,39.03021167,-77.07143,"(39.03021167, -77.07143)"
39.06381512,-77.12870121,DD5604001Y,180010503,Rockville Police Departme,Property Damage Crash,2/28/18 20:36,,,,,PARKING LOT OF 1519 ROCKVILLE PIKE (BED BATH & BEYOND),,,OTHER,CLEAR,,DARK LIGHTS ON,NO CONTROLS,NONE DETECTED,,21B7CD65-23C7-4008-878E-C411C4F0905E,Yes,NO APPARENT INJURY,N/A,UNKNOWN,MD,A9E44FB2-6C81-498E-A383-39711A97C8AE,SUPERFICIAL,PASSENGER CAR,BACKING,39.06381512,-77.12870121,"(39.06381512, -77.12870121)"
39.04158167,-77.05138,MCP3042001L,180010336,Montgomery County Police,Property Damage Crash,2/28/18 11:00,Maryland (State),UNIVERSITY BLVD W,Maryland (State),GEORGIA AVE,,N/A,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,7F8DE3D5-29B3-46A2-B5F6-A63CDFA4E868,Yes,NO APPARENT INJURY,N/A,LOOKED BUT DID NOT SEE,DC,913AD8DD-ABB2-4601-9BC8-992A8F63CD8D,DISABLING,PASSENGER CAR,SLOWING OR STOPPING,39.04158167,-77.05138,"(39.04158167, -77.05138)"
39.02345333,-76.97418667,MCP242500C1,180010307,Montgomery County Police,Property Damage Crash,2/28/18 6:54,County,POWDER MILL RD,County,GREEN FOREST DR,,N/A,,STRAIGHT MOVEMENT ANGLE,CLEAR,DRY,DAYLIGHT,STOP SIGN,NONE DETECTED,,7B27C079-4B3E-4C07-8662-808449EE4B1E,Yes,NO APPARENT INJURY,N/A,NOT DISTRACTED,MD,C87361A0-8120-4F0E-A8A7-00EF0279BAF0,DISABLING,VAN,MAKING LEFT TURN,39.02345333,-76.97418667,"(39.02345333, -76.97418667)"
39.02038167,-77.01311667,MCP2845003K,180010097,Montgomery County Police,Injury Crash,2/27/18 11:00,US (State),COLESVILLE RD,Maryland (State),UNIVERSITY BLVD E,,N/A,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,D64FF946-7BC7-4B06-9255-9E90DE18CF45,No,POSSIBLE INJURY,N/A,NOT DISTRACTED,MD,4C52D62C-43E1-45FD-8548-B79E289C24DB,FUNCTIONAL,PASSENGER CAR,MAKING LEFT TURN,39.02038167,-77.01311667,"(39.02038167, -77.01311667)"
39.15060167,-77.05751333,MCP0539003Y,180009441,Montgomery County Police,Property Damage Crash,2/23/18 15:11,County,PRINCE PHILIP DR,Maryland (State),OLNEY SANDY SPRING RD,,N/A,,SAME DIR REAR END,CLOUDY,DRY,DAYLIGHT,NO CONTROLS,NONE DETECTED,,57C2F505-1991-4C63-84B6-81E4A975B7FD,Yes,NO APPARENT INJURY,"N/A, V WIPERS|W OTHER ENVIRONMENTAL",NOT DISTRACTED,MD,075226CB-14DE-465D-A95F-3FD196E88C0C,DISABLING,PASSENGER CAR,MOVING CONSTANT SPEED,39.15060167,-77.05751333,"(39.15060167, -77.05751333)"
39.055624,-77.14988933,MCP2094009Z,180010113,Montgomery County Police,Injury Crash,2/27/18 11:56,County,MONTROSE RD,Municipality,TOWER OAKS BLVD,,ROCKVILLE,,SAME DIR REAR END,CLEAR,DRY,DAYLIGHT,TRAFFIC SIGNAL,NONE DETECTED,,7864EC3C-0F59-4B4A-B1B0-4E260148CAC7,Yes,SUSPECTED SERIOUS INJURY,N/A,UNKNOWN,MD,1EB85404-AE8F-4605-B4F0-D195EB9A4B89,DISABLING,(SPORT) UTILITY VEHICLE,MOVING CONSTANT SPEED,39.055624,-77.14988933,"(39.055624, -77.14988933)"
